function_name,simulation_id,success,execution_time,K_estimate,K_error,S0_y1_estimate,S1_y1_estimate,S0_y2_estimate,S1_y2_estimate,parameter_recovery_error,error_message,has_outliers,phase
core_reweighted,3,True,0.07271099090576172,5.047716139080513,0.20022353049842442,29618.07178029574,32949.45730839668,2267.6473430816923,9854.81748703956,0.9736800107614352,,True,deterministic
api_recursive,3,True,0.07772374153137207,5.01974273186605,0.3819094483867761,29619.264268454408,33075.324202987205,2268.324950793419,10205.549001503534,0.9881111325928698,,True,deterministic
api_recursive_outlier,3,True,0.07651996612548828,5.01974273186605,0.3819094483867761,29619.264268454408,33075.324202987205,2268.324950793419,10205.549001503534,0.9881111325928698,,True,deterministic
api_reweighted,3,False,1.6450881958007812e-05,,,,,,,,fit_binding_glob_reweighted() missing 1 required positional argument: 'key',True,deterministic
fit_binding_lm,4,True,0.03754591941833496,9.78556785355762,0.35749990506083545,30241.04602405888,29816.205456340722,-34188.06190323838,3994.2295116141927,7.624347774933793,,True,deterministic
fit_binding_lm_outlier,4,True,0.03660726547241211,9.78556785355762,0.35749990506083545,30241.04602405888,29816.205456340722,-34188.06190323838,3994.2295116141927,7.624347774933793,,True,deterministic
fit_binding (lm),4,True,0.03685116767883301,9.78556785355762,0.35749990506083545,30241.04602405888,29816.205456340722,-34188.06190323838,3994.2295116141927,7.624347774933793,,True,deterministic
fit_binding (lm_outlier),4,True,0.041205406188964844,9.78556785355762,0.35749990506083545,30241.04602405888,29816.205456340722,-34188.06190323838,3994.2295116141927,7.624347774933793,,True,deterministic
fit_binding_glob,4,True,0.03725409507751465,9.78556785355762,0.35749990506083545,30241.04602405888,29816.205456340722,-34188.06190323838,3994.2295116141927,7.624347774933793,,True,deterministic
fit_lm,4,True,0.037149906158447266,9.78556785355762,0.35749990506083545,30241.04602405888,29816.205456340722,-34188.06190323838,3994.2295116141927,7.624347774933793,,True,deterministic
fit_lm (robust),4,True,0.051344871520996094,4.827828831000108,9.301220690330917,29842.628673834,30585.707669976095,1693.5114276670897,8844.732097481734,0.83825921006946,,True,deterministic
fit_lm (iterative),4,True,0.2750835418701172,9.633410534270359,0.061474623603438944,30028.71018672017,29699.120405011985,-28610.308784869372,4246.137824746053,6.49088491367893,,True,deterministic
fit_lm (outlier),4,True,0.044046878814697266,9.78556785355762,0.35749990506083545,30241.04602405888,29816.205456340722,-34188.06190323838,3994.2295116141927,7.624347774933793,,True,deterministic
outlier2,4,True,0.13472199440002441,5.279417545932137,3.1012681863973026,29802.547970736006,30313.890487286542,1009.2766434849217,6516.233465613358,0.596515596895569,,True,deterministic
core_recursive,4,True,0.09004688262939453,9.659914263221868,0.06417958556471746,30029.91015883994,29805.37774485258,-29332.84382133287,4230.442087528755,6.636325486648728,,True,deterministic
core_recursive_outlier,4,True,0.08895277976989746,9.659914263221868,0.06417958556471746,30029.91015883994,29805.37774485258,-29332.84382133287,4230.442087528755,6.636325486648728,,True,deterministic
core_reweighted,4,True,0.08038067817687988,9.658737565257885,0.09838646593755418,30029.751603013417,29805.36209857534,-29299.789914660796,4231.642175302537,6.629632214659568,,False,deterministic
api_recursive,4,True,0.09002518653869629,9.659914263221868,0.06417958556471746,30029.91015883994,29805.37774485258,-29332.84382133287,4230.442087528755,6.636325486648728,,True,deterministic
api_recursive_outlier,4,True,0.08907842636108398,9.659914263221868,0.06417958556471746,30029.91015883994,29805.37774485258,-29332.84382133287,4230.442087528755,6.636325486648728,,True,deterministic
api_reweighted,4,False,1.7881393432617188e-05,,,,,,,,fit_binding_glob_reweighted() missing 1 required positional argument: 'key',True,deterministic
fit_binding_lm,5,True,0.17368197441101074,9.867772379480503,0.6877151561582341,28745.601409965788,30199.31006926906,33271.61530166893,2077.37972235173,7.088483256148104,,False,deterministic
fit_binding_lm_outlier,5,True,0.03871965408325195,9.867772379480503,0.6877151561582341,28745.601409965788,30199.31006926906,33271.61530166893,2077.37972235173,7.088483256148104,,True,deterministic
fit_binding (lm),5,True,0.03842449188232422,9.867772379480503,0.6877151561582341,28745.601409965788,30199.31006926906,33271.61530166893,2077.37972235173,7.088483256148104,,True,deterministic
fit_binding (lm_outlier),5,True,0.04096865653991699,9.867772379480503,0.6877151561582341,28745.601409965788,30199.31006926906,33271.61530166893,2077.37972235173,7.088483256148104,,True,deterministic
fit_binding_glob,5,True,0.0393984317779541,9.867772379480503,0.6877151561582341,28745.601409965788,30199.31006926906,33271.61530166893,2077.37972235173,7.088483256148104,,True,deterministic
fit_lm,5,True,0.039276838302612305,9.867772379480503,0.6877151561582341,28745.601409965788,30199.31006926906,33271.61530166893,2077.37972235173,7.088483256148104,,True,deterministic
fit_lm (robust),5,True,0.055089712142944336,6.773512051377793,2.2262627100993715,29685.318100300097,30380.78911268492,5705.747328588366,1813.4454411508548,1.56016786559016,,True,deterministic
fit_lm (iterative),5,True,0.5082478523254395,9.79698608616276,0.5102797271556183,29617.162073133244,30184.848498692354,29847.254592265792,1743.6308645033002,6.432562493638595,,True,deterministic
fit_lm (outlier),5,True,0.04561138153076172,9.867772379480503,0.6877151561582341,28745.601409965788,30199.31006926906,33271.61530166893,2077.37972235173,7.088483256148104,,True,deterministic
outlier2,5,True,0.15765023231506348,9.867772445583736,0.6877150552641805,28745.601457658,30199.30994997411,33271.6177840227,2077.3796563638166,7.088483758452151,,True,deterministic
core_recursive,5,True,0.08458209037780762,9.70717752090507,0.45463982472263176,29361.969569442354,30201.82208930192,27905.158466519217,1741.1889962534062,6.036674303709482,,True,deterministic
core_recursive_outlier,5,True,0.08289766311645508,9.70717752090507,0.45463982472263176,29361.969569442354,30201.82208930192,27905.158466519217,1741.1889962534062,6.036674303709482,,False,deterministic
core_reweighted,5,True,0.07744908332824707,9.714619957789923,0.5742445267608861,29367.863579883364,30199.825886149054,28059.837522033296,1741.5707320623956,6.067919175384965,,True,deterministic
api_recursive,5,True,0.08378314971923828,9.70717752090507,0.45463982472263176,29361.969569442354,30201.82208930192,27905.158466519217,1741.1889962534062,6.036674303709482,,False,deterministic
api_recursive_outlier,5,True,0.08019638061523438,9.70717752090507,0.45463982472263176,29361.969569442354,30201.82208930192,27905.158466519217,1741.1889962534062,6.036674303709482,,False,deterministic
api_reweighted,5,False,1.621246337890625e-05,,,,,,,,fit_binding_glob_reweighted() missing 1 required positional argument: 'key',False,deterministic
fit_binding_lm,6,True,0.04779791831970215,9.705325954926648,0.5244417131996046,31918.976324691826,29915.48219221126,-30466.696000755655,5033.093561669718,6.872189232474288,,True,deterministic
fit_binding_lm_outlier,6,True,0.043786048889160156,9.705325954926648,0.5244417131996046,31918.976324691826,29915.48219221126,-30466.696000755655,5033.093561669718,6.872189232474288,,True,deterministic
fit_binding (lm),6,True,0.04344606399536133,9.705325954926648,0.5244417131996046,31918.976324691826,29915.48219221126,-30466.696000755655,5033.093561669718,6.872189232474288,,True,deterministic
fit_binding (lm_outlier),6,True,0.04795408248901367,9.705325954926648,0.5244417131996046,31918.976324691826,29915.48219221126,-30466.696000755655,5033.093561669718,6.872189232474288,,True,deterministic
fit_binding_glob,6,True,0.044083356857299805,9.705325954926648,0.5244417131996046,31918.976324691826,29915.48219221126,-30466.696000755655,5033.093561669718,6.872189232474288,,False,deterministic
fit_lm,6,True,0.043843746185302734,9.705325954926648,0.5244417131996046,31918.976324691826,29915.48219221126,-30466.696000755655,5033.093561669718,6.872189232474288,,True,deterministic
fit_lm (robust),6,True,0.044028520584106445,3.000000105061677,809.9738440692348,30308.07132238995,-15869.543213100958,3836.8676657644296,-81530.86885892026,4.8182478840082545,,True,deterministic
fit_lm (iterative),6,True,0.08497977256774902,5.8643715680957955,0.2594084768152695,30481.519036405174,29667.885240591877,5235.531965911203,1358.2789638176578,1.5273508325793823,,True,deterministic
fit_lm (outlier),6,True,0.058835744857788086,9.705325954926648,0.5244417131996046,31918.976324691826,29915.48219221126,-30466.696000755655,5033.093561669718,6.872189232474288,,True,deterministic
outlier2,6,True,0.13745832443237305,10.999999999987955,1.2593262627765518,41961.076971599105,30004.69509677444,-216151.8388629606,4954.985905761016,44.244704428739574,,True,deterministic
core_recursive,6,True,0.08737874031066895,3.0000021806466175,1887.3202676593428,30197.405843360473,-13895.262806073048,4067.8009951809136,-28268.83879505169,2.7238428607791754,,True,deterministic
core_recursive_outlier,6,True,0.42331695556640625,8.559738344400285,0.22828147819127143,30786.908272963097,29762.54356935526,10797.269936096834,3352.4968084090056,2.5503017952488554,,False,deterministic
core_reweighted,6,True,0.09137892723083496,8.510151939392742,0.34068609225814805,30776.578566679138,29762.34136640438,10556.66970171283,3333.0929195750273,2.501429814478003,,True,deterministic
api_recursive,6,True,0.09884381294250488,8.559738344400285,0.22828147819127143,30786.908272963097,29762.54356935526,10797.269936096834,3352.4968084090056,2.5503017952488554,,True,deterministic
api_recursive_outlier,6,True,0.09216618537902832,8.559738344400285,0.22828147819127143,30786.908272963097,29762.54356935526,10797.269936096834,3352.4968084090056,2.5503017952488554,,True,deterministic
api_reweighted,6,False,2.288818359375e-05,,,,,,,,fit_binding_glob_reweighted() missing 1 required positional argument: 'key',True,deterministic
